--- Circuito ---
Capital Lisbon
Porto Setubal
Porto Leixoes
Porto Brest
Porto Dublin
Capital Dublin
Capital London
Porto London
Porto Dunkirk
Porto Zeebrugge
Porto Vlissingen
Porto Antwerp
Capital Brussels
Capital Amsterdam
Capital Berlin
Porto Rostock
Porto Copenhagen
Porto Aarhus
Porto Lysekil
Porto Bergen
Capital Oslo
Capital Stockholm
Porto Stockholm
Porto Tallinn
Capital Tallinn
Capital Riga
Capital Vilnius
Capital Minsk
Capital Kyiv
Capital Chisinau
Capital Bucharest
Porto Galatz
Porto Constantza
Porto Varna
Porto Bourgas
Porto Ambarli
Porto Mersin
Porto Larnaca
Porto Piraeus
Capital Athens
Capital Skopje
Capital Pristina
Capital Podgorica
Capital Tirana
Porto Vlore
Porto Split
Porto Rijeka
Porto Piran
Porto Venice
Capital Rome
Capital Ljubljana
Capital Zagreb
Capital Sarajevo
Capital Belgrade
Capital Vaduz
Capital Bern
Capital Paris
Capital Monaco
Porto Monaco
Porto Genoa
Porto Barcelona
Porto Valencia
Capital Madrid
Capital Lisbon
