             
Ship1 MMSI  Ship2 MMSI   TravelDistance difference
             
Ship1 MMSI  Ship2 MMSI   TravelDistance difference
             
 366998510  367122220      1.1483354369915908
             
Ship1 MMSI  Ship2 MMSI   TravelDistance difference
             
Ship1 MMSI  Ship2 MMSI   TravelDistance difference
             
 366998510  367122220      1.1483354369915908
             
Ship1 MMSI  Ship2 MMSI   TravelDistance difference
             
 366998510  367122220      1.1483354369915908
             
Ship1 MMSI  Ship2 MMSI   TravelDistance difference
             
Ship1 MMSI  Ship2 MMSI   TravelDistance difference
             
 366998510  367122220      1.1483354369915908
             
Ship1 MMSI  Ship2 MMSI   TravelDistance difference
             
Ship1 MMSI  Ship2 MMSI   TravelDistance difference
             
 366998510  367122220      1.1483354369915908
             
Ship1 MMSI  Ship2 MMSI   TravelDistance difference
             
Ship1 MMSI  Ship2 MMSI   TravelDistance difference
             
Ship1 MMSI  Ship2 MMSI   TravelDistance difference
             
 366998510  367122220      1.1483354369915908
             
Ship1 MMSI  Ship2 MMSI   TravelDistance difference
             
