The ship with the mmsi code: 121212121, was not in idle in this year.
The ship with the mmsi code: 210950000, was idle for the entire year.
The ship with the mmsi code: 212180000, was not in idle in this year.
The ship with the mmsi code: 212351000, was idle for the entire year.
The ship with the mmsi code: 228339600, was idle for the entire year.
The ship with the mmsi code: 229767000, was idle for the entire year.
The ship with the mmsi code: 229857000, was idle for the entire year.
The ship with the mmsi code: 229961000, was idle for the entire year.
The ship with the mmsi code: 235092459, was idle for the entire year.
The ship with the mmsi code: 249047000, was idle for the entire year.
The ship with the mmsi code: 256304000, was idle for the entire year.
The ship with the mmsi code: 256888000, was idle for the entire year.
The ship with the mmsi code: 257881000, was idle for the entire year.
The ship with the mmsi code: 258692000, was not in idle in this year.
The ship with the mmsi code: 303221000, was idle for the entire year.
The ship with the mmsi code: 303267000, was idle for the entire year.
The ship with the mmsi code: 305176000, was idle for the entire year.
The ship with the mmsi code: 305373000, was idle for the entire year.
The ship with the mmsi code: 305776000, was idle for the entire year.
The ship with the mmsi code: 309416000, was idle for the entire year.
The ship with the mmsi code: 529467097, was idle for the entire year.
The ship with the mmsi code: 636019825, was idle for the entire year.
The ship with the mmsi code: 636091400, was idle for the entire year.
The ship with the mmsi code: 636092932, was idle for the entire year.
The ship with the mmsi code: 696134988, was idle for the entire year.
